response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.7880,0.0268,0.0022,0.0000,1.6789,0.0823,200,0.0020
1.8474,0.0263,0.0023,0.0002,1.7392,0.0815,200,0.0017
2.2773,0.0266,0.0022,0.0000,2.2100,0.0406,200,0.0021
2.3890,0.0266,0.0022,0.0001,2.2518,0.1105,200,0.0019
2.4177,0.0270,0.0017,0.0000,2.3250,0.0655,200,0.0023
2.5273,0.0262,0.0021,0.0001,2.4213,0.0797,200,0.0021
2.5711,0.0274,0.0021,0.0000,2.4762,0.0675,200,0.0022
2.6161,0.0287,0.0039,0.0000,2.4551,0.1322,200,0.0001
2.6588,0.0262,0.0021,0.0001,2.5617,0.0709,200,0.0023
2.7260,0.0275,0.0025,0.0000,2.6471,0.0513,200,0.0016
1.6178,0.0000,0.0000,0.0000,1.5569,0.0607,200,1.7900
1.7195,0.0000,0.0000,0.0000,1.6456,0.0738,200,1.8491
1.7031,0.0000,0.0000,0.0000,1.6423,0.0608,200,2.4200
1.8042,0.0000,0.0000,0.0000,1.7414,0.0626,200,2.3909
1.9601,0.0000,0.0000,0.0001,1.9153,0.0447,200,2.2794
1.8531,0.0000,0.0000,0.0000,1.7735,0.0794,200,2.7276
2.0340,0.0000,0.0000,0.0000,1.9309,0.1030,200,2.5733
2.0494,0.0000,0.0000,0.0001,1.9322,0.1170,200,2.6162
2.1452,0.0000,0.0000,0.0000,2.0358,0.1094,200,2.5294
2.0656,0.0000,0.0000,0.0000,1.9695,0.0960,200,2.6611
1.6603,0.0000,0.0000,0.0000,1.6073,0.0528,200,3.4078
1.6865,0.0000,0.0000,0.0000,1.6226,0.0638,200,3.5686
1.7339,0.0000,0.0000,0.0001,1.6055,0.1283,200,4.1231
1.6878,0.0000,0.0000,0.0001,1.5800,0.1076,200,4.1951
1.6718,0.0000,0.0000,0.0000,1.5387,0.1330,200,4.2394
1.4500,0.0000,0.0000,0.0000,1.3790,0.0709,200,4.6073
1.8004,0.0000,0.0000,0.0000,1.7017,0.0986,200,4.5807
1.6695,0.0000,0.0000,0.0000,1.5999,0.0695,200,4.7267
1.8318,0.0000,0.0000,0.0000,1.7620,0.0697,200,4.6747
1.8801,0.0000,0.0000,0.0000,1.8109,0.0691,200,4.6656
1.7564,0.0000,0.0000,0.0000,1.7104,0.0458,200,5.0681
1.7993,0.0000,0.0000,0.0000,1.7482,0.0510,200,5.2552
1.6492,0.0000,0.0000,0.0000,1.5759,0.0733,200,5.8570
1.7095,0.0000,0.0000,0.0000,1.6436,0.0657,200,5.8829
1.6095,0.0000,0.0000,0.0000,1.5396,0.0698,200,6.0574
1.8018,0.0000,0.0000,0.0000,1.7227,0.0789,200,5.9112
1.5698,0.0000,0.0000,0.0000,1.5043,0.0654,200,6.3811
1.6731,0.0000,0.0000,0.0000,1.6083,0.0647,200,6.3962
1.6578,0.0000,0.0000,0.0000,1.5951,0.0626,200,6.5065
1.6675,0.0000,0.0000,0.0000,1.6138,0.0536,200,6.5456
1.4447,0.0000,0.0000,0.0001,1.3954,0.0492,200,6.8245
1.5086,0.0000,0.0000,0.0000,1.4499,0.0586,200,7.0545
1.5343,0.0000,0.0000,0.0000,1.4795,0.0547,200,7.5924
1.6303,0.0000,0.0000,0.0000,1.5528,0.0774,200,7.7130
1.8644,0.0000,0.0000,0.0000,1.7618,0.1024,200,7.5062
1.7811,0.0000,0.0000,0.0000,1.7240,0.0570,200,7.6668
1.6174,0.0000,0.0000,0.0000,1.5582,0.0591,200,8.0693
1.8944,0.0000,0.0000,0.0000,1.8260,0.0683,200,7.9509
1.6653,0.0000,0.0000,0.0000,1.5663,0.0990,200,8.2131
1.7552,0.0000,0.0000,0.0000,1.6711,0.0839,200,8.1643
1.7495,0.0000,0.0000,0.0000,1.7081,0.0413,200,8.2692
1.6129,0.0000,0.0000,0.0000,1.5678,0.0450,200,8.5631
1.6329,0.0000,0.0000,0.0000,1.5790,0.0538,200,9.1267
1.5778,0.0000,0.0000,0.0000,1.5102,0.0675,200,9.3706
1.7749,0.0000,0.0000,0.0000,1.7153,0.0595,200,9.3433
1.8285,0.0000,0.0000,0.0000,1.6455,0.1829,200,9.4480
1.6784,0.0000,0.0000,0.0000,1.6116,0.0667,200,9.6867
1.5678,0.0000,0.0000,0.0000,1.5144,0.0533,200,9.9195
1.6851,0.0000,0.0000,0.0000,1.6153,0.0697,200,9.8785
1.7916,0.0000,0.0000,0.0000,1.7202,0.0713,200,9.8454
1.5691,0.0000,0.0000,0.0000,1.5147,0.0543,200,10.1760
1.7657,0.0000,0.0000,0.0000,1.7131,0.0525,200,10.0187
1.4367,0.0000,0.0000,0.0000,1.3717,0.0649,200,10.9484
1.6607,0.0000,0.0000,0.0000,1.5963,0.0643,200,10.7595
1.5031,0.0000,0.0000,0.0000,1.4497,0.0533,200,11.3651
1.8102,0.0000,0.0000,0.0001,1.7580,0.0521,200,11.1182
1.7620,0.0000,0.0000,0.0000,1.7139,0.0480,200,11.2765
1.6357,0.0000,0.0000,0.0000,1.5861,0.0495,200,11.4873
1.6484,0.0000,0.0000,0.0000,1.5716,0.0766,200,11.5636
1.5874,0.0000,0.0000,0.0001,1.5117,0.0755,200,11.6369
1.6088,0.0000,0.0000,0.0001,1.5652,0.0436,200,11.7844
1.7625,0.0000,0.0000,0.0000,1.7025,0.0599,200,11.7452
1.3963,0.0000,0.0000,0.0000,1.3493,0.0469,200,12.4202
1.7090,0.0000,0.0000,0.0000,1.6520,0.0570,200,12.3852
1.2691,0.0000,0.0000,0.0000,1.2260,0.0429,200,13.1230
1.5998,0.0000,0.0000,0.0001,1.5424,0.0573,200,12.9284
1.7214,0.0000,0.0000,0.0000,1.6340,0.0872,200,12.8682
1.5816,0.0000,0.0000,0.0001,1.5269,0.0546,200,13.0385
1.4786,0.0000,0.0000,0.0000,1.4243,0.0542,200,13.2244
1.5777,0.0000,0.0000,0.0000,1.5130,0.0646,200,13.2120
1.5826,0.0000,0.0000,0.0000,1.5320,0.0505,200,13.3932
