response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.6643,1.2715,0.0457,0.0232,1.2669,0.1026,200,0.1012
4.3421,1.2998,0.0458,0.0045,3.0376,0.0001,200,0.1007
4.3966,1.2985,0.0462,0.0040,3.0941,0.0001,200,0.0990
4.9195,1.3508,0.1178,0.0016,3.5670,0.0001,200,0.0834
4.9559,1.3488,0.1073,0.0046,3.6024,0.0001,200,0.0507
4.9478,1.3557,0.1300,0.0027,3.5893,0.0001,200,0.0631
4.9451,1.3490,0.1228,0.0038,3.5922,0.0001,200,0.0742
4.9331,1.3541,0.1193,0.0004,3.5785,0.0001,200,0.0872
4.9529,1.3521,0.1223,0.0041,3.5966,0.0001,200,0.0706
4.9707,1.3694,0.1082,0.0041,3.5971,0.0001,200,0.0534
4.9677,1.3732,0.1253,0.0279,3.5665,0.0001,200,0.0573
4.9389,1.3584,0.1192,0.0050,3.5754,0.0000,200,0.0862
4.9644,1.3647,0.1312,0.0036,3.5961,0.0000,200,0.0609
4.9498,1.3632,0.1216,0.0043,3.5823,0.0000,200,0.0787
4.9724,1.3633,0.1313,0.0038,3.6053,0.0000,200,0.0607
4.9559,1.3563,0.1192,0.0042,3.5953,0.0001,200,0.0863
4.9489,1.3515,0.1201,0.0049,3.5925,0.0000,200,0.0935
4.9434,1.3553,0.0462,0.0023,3.5858,0.0000,200,0.0991
4.9558,1.3457,0.1193,0.0018,3.6082,0.0000,200,0.0872
4.9901,1.3455,0.1082,0.0044,3.6402,0.0000,200,0.0534
4.9487,1.3583,0.1199,0.0018,3.5886,0.0000,200,0.0952
4.9633,1.3638,0.1136,0.0017,3.5977,0.0001,200,0.0893
4.9551,1.2998,0.0459,0.0045,3.6507,0.0001,200,0.1005
4.9732,1.3695,0.1197,0.0017,3.6020,0.0000,200,0.0837
4.9677,1.3206,0.0460,0.0028,3.6442,0.0000,200,0.0984
4.9787,1.3560,0.1194,0.0049,3.6178,0.0000,200,0.0875
4.9610,1.3521,0.0437,0.0024,3.6064,0.0000,200,0.1054
5.0104,1.3619,0.1167,0.0026,3.6458,0.0001,200,0.0565
4.9779,1.3552,0.1197,0.0049,3.6177,0.0000,200,0.0899
4.9792,1.3635,0.1197,0.0017,3.6139,0.0001,200,0.0897
4.9865,1.3552,0.1198,0.0021,3.6291,0.0001,200,0.0833
5.0109,1.3660,0.1320,0.0036,3.6413,0.0001,200,0.0593
4.9988,1.3637,0.1228,0.0019,3.6331,0.0000,200,0.0743
5.0226,1.4005,0.1100,0.0023,3.6198,0.0001,200,0.0540
4.9983,1.3819,0.1214,0.0014,3.6150,0.0000,200,0.0792
5.0244,1.4035,0.1127,0.0017,3.6190,0.0000,200,0.0551
4.9862,1.3598,0.1200,0.0017,3.6246,0.0001,200,0.0940
5.0291,1.3615,0.1306,0.0038,3.6637,0.0000,200,0.0621
5.0189,1.3607,0.1224,0.0019,3.6562,0.0001,200,0.0726
5.0117,1.3436,0.1204,0.0036,3.6644,0.0001,200,0.0818
5.0217,1.3510,0.1225,0.0038,3.6668,0.0000,200,0.0724
5.0171,1.3460,0.1199,0.0253,3.6457,0.0001,200,0.0910
5.0214,1.3534,0.1197,0.0049,3.6630,0.0001,200,0.0901
5.0352,1.3657,0.1221,0.0045,3.6651,0.0001,200,0.0774
5.0448,1.3628,0.1233,0.0019,3.6800,0.0001,200,0.0707
5.0123,1.3493,0.0438,0.0109,3.6521,0.0001,200,0.1052
5.0498,1.3845,0.1237,0.0023,3.6630,0.0001,200,0.0699
5.0600,1.3725,0.1310,0.0019,3.6855,0.0000,200,0.0613
5.0168,1.3515,0.0452,0.0025,3.6627,0.0001,200,0.1057
5.0334,1.3620,0.1197,0.0119,3.6594,0.0000,200,0.0894
5.0602,1.3677,0.1295,0.0289,3.6635,0.0001,200,0.0640
5.0249,1.2998,0.0459,0.0045,3.7204,0.0001,200,0.1006
5.0341,1.3574,0.1199,0.0120,3.6647,0.0001,200,0.0945
5.0394,1.3611,0.1197,0.0119,3.6662,0.0001,200,0.0900
5.0697,1.3559,0.1228,0.0264,3.6873,0.0000,200,0.0755
5.0753,1.3580,0.1219,0.0290,3.6882,0.0000,200,0.0735
5.0933,1.3596,0.1302,0.0040,3.7295,0.0001,200,0.0628
5.1019,1.3730,0.1262,0.0279,3.7009,0.0000,200,0.0573
5.0849,1.3681,0.1225,0.0050,3.7117,0.0001,200,0.0763
5.0894,1.3615,0.1226,0.0019,3.7259,0.0001,200,0.0721
5.1223,1.3625,0.1141,0.0027,3.7570,0.0001,200,0.0561
5.1030,1.3675,0.1196,0.0119,3.7234,0.0001,200,0.0839
5.1127,1.3701,0.1201,0.0125,3.7300,0.0001,200,0.0826
5.1439,1.4002,0.1325,0.0023,3.7413,0.0001,200,0.0576
5.1465,1.3570,0.1226,0.0018,3.7876,0.0001,200,0.0760
5.1498,1.3588,0.1229,0.0019,3.7890,0.0001,200,0.0748
5.1653,1.3610,0.1307,0.0041,3.8002,0.0001,200,0.0618
5.1418,1.3412,0.1197,0.0279,3.7726,0.0000,200,0.0893
5.1507,1.3489,0.1195,0.0019,3.7999,0.0000,200,0.0845
5.1763,1.3602,0.1221,0.0019,3.8141,0.0001,200,0.0731
5.1911,1.3651,0.1315,0.0036,3.8224,0.0000,200,0.0603
5.1751,1.3597,0.1222,0.0253,3.7901,0.0001,200,0.0772
5.1784,1.3563,0.1229,0.0279,3.7941,0.0000,200,0.0748
5.1813,1.3580,0.1208,0.0022,3.8210,0.0001,200,0.0807
5.1792,1.3699,0.1195,0.0017,3.8075,0.0001,200,0.0834
5.1964,1.3626,0.1227,0.0014,3.8323,0.0002,200,0.0719
5.2138,1.3694,0.1137,0.0036,3.8407,0.0001,200,0.0559
5.2211,1.4010,0.1164,0.0024,3.8176,0.0001,200,0.0564
5.2001,1.3537,0.1202,0.0251,3.8212,0.0001,200,0.0823
5.1993,1.3648,0.1194,0.0123,3.8222,0.0000,200,0.0875
5.2132,1.3621,0.1227,0.0019,3.8492,0.0000,200,0.0758
5.2032,1.3573,0.1199,0.0125,3.8333,0.0002,200,0.0954
5.2365,1.3748,0.1224,0.0037,3.8579,0.0000,200,0.0724
5.2327,1.3666,0.1222,0.0051,3.8610,0.0000,200,0.0771
5.2336,1.3496,0.1192,0.0251,3.8588,0.0001,200,0.0864
5.2263,1.3500,0.1200,0.0050,3.8713,0.0000,200,0.0942
5.2628,1.3699,0.1225,0.0042,3.8885,0.0001,200,0.0723
5.2911,1.3608,0.1217,0.0024,3.9278,0.0001,200,0.0785
5.3134,1.3699,0.1235,0.0014,3.9420,0.0001,200,0.0705
5.3257,1.3668,0.1322,0.0036,3.9552,0.0001,200,0.0587
5.3432,1.3648,0.1097,0.0027,3.9755,0.0001,200,0.0537
5.3034,1.3046,0.0458,0.0003,3.9983,0.0002,200,0.1009
5.3560,1.3658,0.1080,0.0028,3.9873,0.0001,200,0.0532
5.3404,1.3271,0.1227,0.0044,4.0087,0.0002,200,0.0740
5.3396,1.3521,0.1193,0.0022,3.9853,0.0000,200,0.0866
5.3926,1.3601,0.1225,0.0252,4.0072,0.0001,200,0.0762
5.3820,1.3631,0.1197,0.0122,4.0066,0.0000,200,0.0891
5.3802,1.3189,0.0448,0.0036,4.0574,0.0002,200,0.1056
5.4364,1.3567,0.1199,0.0122,4.0672,0.0001,200,0.0955
6.6365,1.3202,0.0438,0.0036,5.3126,0.0001,200,0.1053
3.1513,0.0000,0.0000,0.0000,3.1511,0.0001,200,5.0702
12.2871,1.2524,0.0444,0.0260,1.3623,9.6463,200,0.1040
20.0006,1.2680,0.0344,0.0217,1.6241,17.0008,200,0.0208
20.0004,1.3312,0.1040,0.0284,1.4706,17.1695,200,0.0272
20.0003,1.3688,0.1044,0.0027,3.5627,15.0659,200,0.0498
20.0020,1.3511,0.0969,0.0045,3.5713,15.0749,200,0.0493
20.0019,1.3276,0.0984,0.0195,1.9250,16.7295,200,0.0496
20.0004,1.4065,0.1074,0.0023,3.5252,15.0663,200,0.0513
20.0019,1.3490,0.1074,0.0044,4.0018,14.6466,200,0.0500
20.0019,1.3682,0.1072,0.0027,3.2482,15.3828,200,0.0502
20.0017,1.3491,0.1073,0.0046,3.5464,15.1016,200,0.0506
20.0015,1.3739,0.1073,0.0036,3.1384,15.4856,200,0.0509
20.0015,1.3552,0.1073,0.0139,3.6602,14.9721,200,0.0510
20.0014,1.3471,0.1073,0.0042,3.5958,15.0543,200,0.0512
20.0003,1.3657,0.1077,0.0027,3.2764,15.3555,200,0.0525
20.0016,1.3498,0.1074,0.0044,3.0191,15.6283,200,0.0515
20.0016,1.3542,0.1073,0.0136,3.2882,15.3455,200,0.0517
20.0017,1.3487,0.1080,0.0045,3.3364,15.3119,200,0.0519
20.0016,1.3471,0.1079,0.0045,3.4295,15.2205,200,0.0521
20.0016,1.3513,0.1078,0.0021,3.4713,15.1768,200,0.0523
20.0002,1.3451,0.1101,0.0044,3.1974,15.4534,200,0.0540
20.0016,1.3720,0.1076,0.0036,3.6046,15.0214,200,0.0528
20.0017,1.3532,0.1077,0.0137,3.7474,14.8873,200,0.0529
20.0018,1.4041,0.1077,0.0025,3.5466,15.0486,200,0.0529
20.0018,1.3706,0.1078,0.0038,3.4728,15.1547,200,0.0530
20.0019,1.3482,0.1078,0.0044,3.5725,15.0769,200,0.0530
20.0021,1.3473,0.1079,0.0045,3.4682,15.1821,200,0.0531
20.0021,1.3479,0.1079,0.0044,3.9313,14.7185,200,0.0531
